id,question_stem,choices,answerKey
9-404,What do steam and ice have in common?,"{'text': ['head to less snowy areas', 'prefer to visit florida', 'take a scenic route', 'travel in small groups'], 'label': ['A', 'B', 'C', 'D']}",D
1295,What is an example of protecting the environment?,"{'text': ['it can be gotten continuously', 'it is free from dirt', 'it is electric and powerful', 'is uses very little gasoline'], 'label': ['A', 'B', 'C', 'D']}",C
9-97,Greenhouses,"{'text': ['a wooden wall', 'the wind', 'the sun', 'light rays'], 'label': ['A', 'B', 'C', 'D']}",A
1871,"After a wildfire, the surviving creatures need to","{'text': [""The puppy's mother had ears that looked the same way"", 'The puppy was deaf', 'The puppy was tired', 'The puppy was missing the bones in its ears'], 'label': ['A', 'B', 'C', 'D']}",B
9-1035,"If something is alive, then it requires","{'text': ['center of gravity', 'shape and mass', 'chemical composition', 'speed'], 'label': ['A', 'B', 'C', 'D']}",D
9-344,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,"{'text': ['a silky thread', 'trickery', 'seduction', 'a flyswatter'], 'label': ['A', 'B', 'C', 'D']}",B
7-752,"A small volcano under the sea erupts ever four years. After a few centuries, there will be","{'text': ['powers of observation', 'lucky stars', 'mother', 'grandmother'], 'label': ['A', 'B', 'C', 'D']}",B
9-644,Tearing an object changes that object's,"{'text': ['heaps of ice cubes', 'heaps of confused penguins', 'heaps of crystalline solids', 'heaps of coral reef'], 'label': ['A', 'B', 'C', 'D']}",C
1946,"There are producers that exist in the food chain, and they basically","{'text': ['apples', 'apple pies', 'falling leaves', ""bird's nests""], 'label': ['A', 'B', 'C', 'D']}",D
9-737,What is an example of the Earth rotating on its axis?,"{'text': [""adapted long ears the size of elephant's"", 'adapted a raised portion on their dorsal side', 'adapted long snouts to drink from holes', 'all of these'], 'label': ['A', 'B', 'C', 'D']}",D
9-62,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause","{'text': ['the southern part of cities', 'the northern part of Earth', 'the southern part of the third rock', 'the southern part of every rock'], 'label': ['A', 'B', 'C', 'D']}",A
8-310,A heavier object,"{'text': ['humans are unable to reproduce until they are legal adults', 'eggs are unable to be fertilized before they are dropped', 'dogs are unable to have puppies until they are two years old', 'cats are unable to produce offspring until they are sexually mature'], 'label': ['A', 'B', 'C', 'D']}",A
8-212,A pile of iron will,"{'text': ['Mars', 'Jupiter', 'Neptune', 'the sun'], 'label': ['A', 'B', 'C', 'D']}",A
7-714,Filling a glass with markers for cup amounts on it would be,"{'text': ['a boy with a pen', 'a man with a stick', 'a man with a spoon', 'a man with a candle and match'], 'label': ['A', 'B', 'C', 'D']}",D
9-827,Some minerals originated from a material that was,"{'text': ['high temps', 'mild weather', 'large storms', 'snowing clouds'], 'label': ['A', 'B', 'C', 'D']}",C
9-1093,Seasons of the year highly impact what?,"{'text': ['plants', 'mushrooms', 'bacteria', 'robots'], 'label': ['A', 'B', 'C', 'D']}",C
9-263,a day hiking will most likely result in which of these?,"{'text': ['frozen', 'catapulted', 'ravaged', 'rotted'], 'label': ['A', 'B', 'C', 'D']}",D
9-1131,"A source of something supplies that something, like how","{'text': ['soak fields', 'create dams', 'feed fish', 'ruin crops'], 'label': ['A', 'B', 'C', 'D']}",D
9-788,As a car approaches you in the night,"{'text': ['loosening of the bottle lid', 'deflation of the bottle', 'ice cubes in the freezer', 'bursting of the bottle'], 'label': ['A', 'B', 'C', 'D']}",C
7-744,Disposition is the process of forming what?,"{'text': ['that animal has matured', 'that animal was impregnated', 'that animal was in heat', 'that animal was interested'], 'label': ['A', 'B', 'C', 'D']}",A
9-255,If an animal is able to reproduce then,"{'text': ['survive', 'eat', 'live', 'grow'], 'label': ['A', 'B', 'C', 'D']}",C
9-625,"A student is studying different aspects of science, and today's area is magnetic properties. The student has a magnet, and is testing which sort of objects the magnet will have an attraction to. The student is surprised that the magnet tugs itself towards","{'text': ['have fur', 'howl', 'have claws', 'have tails'], 'label': ['A', 'B', 'C', 'D']}",A
7-281,As demand for product lags,"{'text': ['on the tray', 'in the mug', 'on the plate', 'on the table'], 'label': ['A', 'B', 'C', 'D']}",A
